oid,x,y,target
ZTF17aadmidf,0.25208876,0.103977986,E
ZTF17aadqpnu,0.11966838,0.31945786,RRL
ZTF18aapkwuy,0.14501739,0.34573486,RRL
ZTF18aajoeri,0.21244994,0.36929524,RRL
ZTF18adaiqlm,0.15458582,0.09828487,E
ZTF18acsmpoh,0.09289653,0.22152872,RRL
ZTF18adaudsr,0.10571811,0.14525786,LPV
ZTF18abvtifv,0.182086,0.07264554,E
ZTF18abviquo,0.081906356,0.30372205,RRL
ZTF17aabxpfh,0.2266106,0.31407192,DSCT
ZTF18acagzaa,0.1469798,0.30870968,RRL
ZTF18abryqkd,0.26439163,0.26635146,E
ZTF18aabcbwe,0.2667862,0.272201,E
ZTF18abbycbo,0.059983313,0.24347995,RRL
ZTF18aayeaho,0.012471187,0.23016313,LPV
ZTF17aabshmd,0.29026848,0.310664,E
ZTF18aabpzej,0.25652996,0.34091014,E
ZTF19aacabqi,0.15690748,0.2336731,E
ZTF17aabviiw,0.12849514,0.29625365,RRL
ZTF18abskqtt,0.06346704,0.27132764,RRL
ZTF18abeiyfj,0.13362642,0.11917961,RRL
ZTF18abmpncd,0.226009,0.09527761,E
ZTF18abmlygd,0.097146966,0.36230215,RRL
ZTF18aairecz,0.249424,0.16955358,E
ZTF18abwkuvp,0.24142441,0.22233503,E
ZTF18aajsgml,0.1177991,0.33611897,RRL
ZTF17aabwhsf,0.22306421,0.25465503,E
ZTF18abbxymh,0.14155012,0.18624507,RRL
ZTF18aceiewe,0.12967432,0.24591543,RRL
ZTF18absuwqi,0.24546754,0.13918117,E
ZTF18acebvoc,0.3034065,0.22979935,E
ZTF17aaapkds,0.22405446,0.29680923,E
ZTF19aafnnyx,0.004596119,0.24442354,LPV
ZTF18abvgciz,0.008433719,0.32329878,LPV
ZTF18abnnbyp,0.19877748,0.108476676,E
ZTF18abmqjdl,0.13387898,0.038058214,RRL
ZTF18aabgkbi,0.26742998,0.33028665,RRL
ZTF18acsjibs,0.16234446,0.1477112,E
ZTF18abjlwyr,0.2856261,0.23983447,E
ZTF18actwxiz,0.17632271,0.18307479,E
ZTF18abcosfz,0.07612399,0.35942224,RRL
ZTF18aberbwo,0.14051522,0.16774137,E
ZTF17aaahepx,0.22743724,0.26907754,E
ZTF19abjjyvh,0.30078325,0.26046237,E
ZTF19aaaqnsl,0.15508525,0.18858318,RRL
ZTF18aabmrpo,0.25663453,0.2676124,E
ZTF18acegbsn,0.20359585,0.123610176,E
ZTF18aakdzfd,0.25870523,0.13927537,E
ZTF18absnwva,0.28077763,0.1770631,E
ZTF17aaaiqrw,0.24223976,0.3156818,E
ZTF18acqyksu,0.25625783,0.22956961,Periodic-Other
ZTF18acytayd,0.24295929,0.16009824,E
ZTF18aaylcro,0.17772487,0.14062463,RRL
ZTF18abjhwdk,0.17690183,0.057765566,E
ZTF18acwwnfx,0.18228176,0.13612922,E
ZTF18aavynte,0.021968486,0.32331243,LPV
ZTF17aabuklc,0.14395735,0.21333298,RRL
ZTF19aauvfpe,0.17330794,0.1274522,RRL
ZTF18acrvejb,0.2657618,0.16240165,E
