oid,x,y,target
ZTF19aaesgaz,0.5500061,0.45096523,E
ZTF17aaagzbt,0.6105783,0.48772088,DSCT
ZTF18abdydlo,0.5263698,0.475727,RRL
ZTF18abwqqwt,0.5716136,0.4697388,E
ZTF18adbdnvx,0.58200574,0.4905372,E
ZTF19aaesgba,0.6091681,0.5025862,E
ZTF18abikcoy,0.5843095,0.49416924,RRL
ZTF18acvickw,0.5576568,0.47222364,RRL
ZTF18aayphfs,0.3162507,0.37111476,LPV
ZTF18aaisdzg,0.62237847,0.49108592,E
ZTF18abcscgp,0.59118897,0.5038215,E
ZTF18acvvsvi,0.6039918,0.49688894,E
ZTF19aaflthc,0.5203582,0.46539813,E
ZTF18abnttdd,0.54075503,0.47083652,E
ZTF18aaumbri,0.55921596,0.47783056,DSCT
ZTF19aadykpm,0.57926273,0.48350775,E
ZTF18acvcocg,0.59587854,0.49818912,E
ZTF18aakgtup,0.63496125,0.4984325,RRL
ZTF17aaawgrz,0.4566883,0.4300781,LPV
ZTF17aaakpvz,0.6177364,0.49158219,E
ZTF18aaajfgw,0.6346968,0.5051182,RRL
ZTF17aadkmcp,0.59920883,0.49612498,E
ZTF19aajwcvj,0.5338513,0.47084868,RRL
ZTF18acctmku,0.60506594,0.49691647,E
ZTF18acpwlnn,0.6055449,0.491507,RRL
ZTF18acgzkpc,0.5557106,0.46809453,E
ZTF17aaagvup,0.6056913,0.49361825,RRL
ZTF18acrvboh,0.60942525,0.49101993,E
ZTF18aaxyxxw,0.30822307,0.36454728,LPV
ZTF18abvlgrj,0.5010447,0.4539745,E
ZTF18abvvtrp,0.5070184,0.44313878,E
ZTF18aabjieg,0.59784466,0.4859998,E
ZTF17aabxped,0.5692627,0.466295,RRL
ZTF18aaaarzl,0.62615776,0.49701858,E
ZTF18acvweoy,0.5290674,0.47640967,E
ZTF18aacasls,0.4799568,0.44350022,E
ZTF18abiipth,0.5967027,0.49949434,RRL
ZTF18abzwgly,0.5846828,0.48265052,E
ZTF17aacdknt,0.59526765,0.5016236,E
ZTF17aabuljr,0.60377014,0.49396673,E
ZTF17aaappqr,0.5913903,0.4978009,RRL
ZTF18aayundf,0.47394744,0.42966452,RRL
ZTF18abhftkq,0.5282312,0.48357296,E
ZTF18abdfhaz,0.5707891,0.46606383,RRL
ZTF18abdkvus,0.37572458,0.36763266,LPV
