oid,x,y,target
ZTF17aadmidf,0.28244343,0.6654061,E
ZTF17aadqpnu,0.32273933,0.82106584,RRL
ZTF18aapkwuy,0.3297427,0.8436217,RRL
ZTF18aajoeri,0.28944162,0.8648023,RRL
ZTF18adaiqlm,0.31300342,0.5674267,E
ZTF18acsmpoh,0.35762474,0.5665303,RRL
ZTF18adaudsr,0.21099748,0.51908386,LPV
ZTF18abvtifv,0.32801506,0.6121716,E
ZTF18abviquo,0.26305282,0.7785579,RRL
ZTF17aabxpfh,0.32690805,0.769936,DSCT
ZTF18acagzaa,0.33492425,0.75641704,RRL
ZTF18abryqkd,0.34152475,0.69799805,E
ZTF18aabcbwe,0.30032015,0.76904577,E
ZTF18abbycbo,0.21434024,0.7065689,RRL
ZTF18aayeaho,0.29672962,0.03473231,LPV
ZTF17aabshmd,0.25931615,0.8851863,E
ZTF18aabpzej,0.24786408,0.8036673,E
ZTF19aacabqi,0.34202033,0.5501717,E
ZTF17aabviiw,0.30200198,0.67609686,RRL
ZTF18abskqtt,0.26856485,0.66782916,RRL
ZTF18abeiyfj,0.33021283,0.5411652,RRL
ZTF18abmpncd,0.31711966,0.68490654,E
ZTF18abmlygd,0.2835255,0.8461429,RRL
ZTF18aairecz,0.27053085,0.7977999,E
ZTF18abwkuvp,0.38469237,0.52662915,E
ZTF18aajsgml,0.33601695,0.8269718,RRL
ZTF17aabwhsf,0.40669492,0.59452355,E
ZTF18abbxymh,0.31434605,0.67751724,RRL
ZTF18aceiewe,0.27518407,0.66741127,RRL
ZTF18absuwqi,0.24231438,0.7201227,E
ZTF18acebvoc,0.37174726,0.6245689,E
ZTF17aaapkds,0.3363921,0.74597377,E
ZTF19aafnnyx,0.07884817,0.7700283,LPV
ZTF18abvgciz,0.13130277,0.12460703,LPV
ZTF18abnnbyp,0.33746517,0.5467097,E
ZTF18abmqjdl,0.3383395,0.52411324,RRL
ZTF18aabgkbi,0.26438004,0.8824958,RRL
ZTF18acsjibs,0.26993847,0.6365478,E
