oid,x,y,target
ZTF17aadmidf,0.43041527,0.60287416,E
ZTF17aadqpnu,0.12160207,0.6629717,RRL
ZTF18aapkwuy,0.15834066,0.76774997,RRL
ZTF18aajoeri,0.22870718,0.7522633,RRL
ZTF18adaiqlm,0.52362657,0.5803095,E
ZTF18acsmpoh,0.2958162,0.5479575,RRL
ZTF18adaudsr,0.4155909,0.4149219,LPV
ZTF18abvtifv,0.48889136,0.63595355,E
ZTF18abviquo,0.28641972,0.6002634,RRL
ZTF17aabxpfh,0.19324243,0.66637,DSCT
ZTF18acagzaa,0.14815304,0.76590973,RRL
ZTF18abryqkd,0.47440106,0.78352755,E
ZTF18aabcbwe,0.42304704,0.75231653,E
ZTF18abbycbo,0.42902082,0.46949667,RRL
ZTF18aayeaho,0.0056568473,0.059748232,LPV
ZTF17aabshmd,0.35822898,0.8521202,E
ZTF18aabpzej,0.3794423,0.774988,E
ZTF19aacabqi,0.5692084,0.6370035,E
ZTF17aabviiw,0.25933605,0.6774589,RRL
ZTF18abskqtt,0.3518195,0.64701605,RRL
ZTF18abeiyfj,0.5003913,0.60907304,RRL
ZTF18abmpncd,0.41929355,0.69165343,E
ZTF18abmlygd,0.18496212,0.7486734,RRL
ZTF18aairecz,0.35688356,0.8606556,E
ZTF18abwkuvp,0.5650539,0.7614122,E
ZTF18aajsgml,0.12894762,0.6642322,RRL
ZTF17aabwhsf,0.56648576,0.88427395,E
ZTF18abbxymh,0.4236785,0.63649356,RRL
ZTF18aceiewe,0.42147344,0.59662634,RRL
ZTF18absuwqi,0.39398766,0.65290964,E
ZTF18acebvoc,0.5223165,0.83263546,E
ZTF17aaapkds,0.47724414,0.8345526,E
ZTF19aafnnyx,0.31783506,0.3001458,LPV
ZTF18abvgciz,0.051159028,0.4072397,LPV
ZTF18abnnbyp,0.5401709,0.55844384,E
ZTF18abmqjdl,0.53893083,0.5568587,RRL
ZTF18aabgkbi,0.3342283,0.85239637,RRL
ZTF18acsjibs,0.4367427,0.5291332,E
ZTF18abjlwyr,0.48649657,0.7407099,E
ZTF18actwxiz,0.42925367,0.6077448,E
ZTF18abcosfz,0.16774964,0.65980554,RRL
ZTF18aberbwo,0.31521332,0.5911126,E
ZTF17aaahepx,0.4321166,0.7494385,E
ZTF19abjjyvh,0.34659672,0.833481,E
ZTF19aaaqnsl,0.44243434,0.6078982,RRL
ZTF18aabmrpo,0.41841233,0.750248,E
ZTF18acegbsn,0.46356893,0.6587986,E
ZTF18aakdzfd,0.45489037,0.5893871,E
ZTF18absnwva,0.4052827,0.58911896,E
ZTF17aaaiqrw,0.40278015,0.77829796,E
ZTF18acqyksu,0.50761217,0.6318809,Periodic-Other
ZTF18acytayd,0.4274214,0.6582356,E
ZTF18aaylcro,0.44895816,0.5113018,RRL
ZTF18abjhwdk,0.57095116,0.43375024,E
ZTF18acwwnfx,0.45016998,0.497683,E
ZTF18aavynte,0.44252357,0.47103196,LPV
ZTF17aabuklc,0.502411,0.5842581,RRL
ZTF19aauvfpe,0.48065284,0.58103055,RRL
ZTF18acrvejb,0.3435751,0.75986606,E
ZTF17aaaiqql,0.4228237,0.7831615,E
ZTF19aaylizt,0.032843187,0.38829902,LPV
ZTF18abcxiqh,0.39314187,0.67279714,E
ZTF18aagrfwa,0.41507584,0.8746213,RRL
ZTF18abocgbs,0.4199979,0.54495174,E
ZTF18abdrunr,0.06432223,0.33175954,LPV
ZTF17aabotyu,0.38574377,0.7631342,E
ZTF18aazmmhq,0.47255424,0.79761606,E
ZTF18abctzkx,0.39243716,0.811466,E
ZTF18adallyq,0.35831615,0.62519604,RRL
ZTF18abtjkii,0.44797865,0.6046496,E
ZTF18ablhpip,0.17122695,0.7615707,RRL
ZTF18adalnbn,0.4138875,0.637553,RRL
ZTF18abcodgd,0.25198153,0.87598175,RRL
ZTF18acuextu,0.370184,0.79977864,E
ZTF17aabukmg,0.40441972,0.8296435,E
ZTF17aacempk,0.15986103,0.64112324,RRL
ZTF19aayxvop,0.5634006,0.5413238,RRL
ZTF18adccbzz,0.46908948,0.85796183,RRL
ZTF18abnbjum,0.376791,0.70292425,RRL
ZTF18acvwbhl,0.3946494,0.7226984,E
ZTF18ablhpjk,0.38662648,0.7496332,E
ZTF18absupvk,0.5443647,0.6635422,Periodic-Other
ZTF19aairfak,0.49582362,0.5670705,E
ZTF19aabzumc,0.2853159,0.7004007,RRL
ZTF18aabexyo,0.46918702,0.8164013,E
ZTF19aatyrhd,0.48201182,0.6006945,E
ZTF17aacjysr,0.40751556,0.6369891,E
ZTF18ablqdqg,0.3874655,0.7287244,E
ZTF18acxyhvo,0.41043153,0.7868847,RRL
ZTF18aabfdtt,0.5619669,0.6665386,E
ZTF18abbwsda,0.15382932,0.67625004,RRL
ZTF18absvbuc,0.5165671,0.6390948,CEP
ZTF18abrnlxo,0.42601138,0.49172038,RRL
ZTF17aaartjy,0.5014533,0.80263346,E
ZTF20aarbodz,0.5156564,0.598348,RRL
ZTF18abcxrfa,0.68450797,0.7510014,E
ZTF18acuxwdm,0.30346358,0.7962125,E
ZTF17aacpjps,0.54854083,0.6948638,E
ZTF18achrnad,0.49989352,0.7582954,E
ZTF18aaafkvd,0.50954914,0.56731147,RRL
ZTF18aabduvr,0.40460986,0.74305737,E
ZTF18abccnqb,0.23105681,0.64437366,RRL
ZTF18aajsgos,0.4255832,0.80555665,E
ZTF19aaaktzg,0.3494224,0.3294502,LPV
