oid,x,y,target
ZTF17aadmidf,0.31619567,0.60740674,E
ZTF17aadqpnu,0.9049142,0.41159374,RRL
ZTF18aapkwuy,0.79810727,0.43427658,RRL
ZTF18aajoeri,0.72114193,0.43666583,RRL
ZTF18adaiqlm,0.23956703,0.6536014,E
ZTF18acsmpoh,0.67689306,0.32107952,RRL
ZTF18adaudsr,0.222201,0.53513694,LPV
ZTF18abvtifv,0.521146,0.40840974,E
ZTF18abviquo,0.7216455,0.39575192,RRL
ZTF17aabxpfh,0.68888646,0.42372096,DSCT
ZTF18acagzaa,0.82361627,0.435851,RRL
ZTF18abryqkd,0.45357886,0.5014092,E
ZTF18aabcbwe,0.40559626,0.51231736,E
ZTF18abbycbo,0.25548652,0.62296414,RRL
ZTF18aayeaho,0.05600214,0.0096647935,LPV
ZTF17aabshmd,0.47776884,0.520127,E
ZTF18aabpzej,0.3519784,0.5995274,E
ZTF19aacabqi,0.49786648,0.38985017,E
ZTF17aabviiw,0.7399799,0.37553117,RRL
ZTF18abskqtt,0.6531191,0.36250845,RRL
ZTF18abeiyfj,0.27428907,0.5736836,RRL
ZTF18abmpncd,0.588567,0.42547235,E
ZTF18abmlygd,0.7726016,0.42569777,RRL
ZTF18aairecz,0.45250517,0.5152606,E
ZTF18abwkuvp,0.41179636,0.47645772,E
ZTF18aajsgml,0.87894195,0.4338861,RRL
ZTF17aabwhsf,0.44533417,0.44818726,E
ZTF18abbxymh,0.4257328,0.54426533,RRL
ZTF18aceiewe,0.26099232,0.5892209,RRL
ZTF18absuwqi,0.38745105,0.6451206,E
ZTF18acebvoc,0.4380655,0.4567693,E
ZTF17aaapkds,0.51425076,0.449156,E
ZTF19aafnnyx,0.15665005,0.2867018,LPV
ZTF18abvgciz,0.39014363,0.059864998,LPV
ZTF18abnnbyp,0.23490658,0.698593,E
ZTF18abmqjdl,0.23499863,0.7101592,RRL
ZTF18aabgkbi,0.43364587,0.5022056,RRL
ZTF18acsjibs,0.2948193,0.5942465,E
ZTF18abjlwyr,0.4296644,0.5062829,E
ZTF18actwxiz,0.6064975,0.38711053,E
ZTF18abcosfz,0.81885445,0.428472,RRL
ZTF18aberbwo,0.6133597,0.3939751,E
ZTF17aaahepx,0.3712606,0.5548504,E
ZTF19abjjyvh,0.45210165,0.49622235,E
ZTF19aaaqnsl,0.27927142,0.6010743,RRL
ZTF18aabmrpo,0.52750325,0.4357846,E
ZTF18acegbsn,0.38279158,0.5394169,E
ZTF18aakdzfd,0.22055031,0.5888359,E
ZTF18absnwva,0.38288853,0.5324312,E
ZTF17aaaiqrw,0.49503806,0.43828562,E
ZTF18acqyksu,0.5650788,0.39697346,Periodic-Other
ZTF18acytayd,0.37596494,0.5499454,E
ZTF18aaylcro,0.2234941,0.6425671,RRL
ZTF18abjhwdk,0.15175468,0.77812403,E
ZTF18acwwnfx,0.2407187,0.61178565,E
ZTF18aavynte,0.30450386,0.56137955,LPV
ZTF17aabuklc,0.30520305,0.5777346,RRL
ZTF19aauvfpe,0.5721778,0.37001485,RRL
ZTF18acrvejb,0.40223002,0.5981292,E
ZTF17aaaiqql,0.49398574,0.44393843,E
ZTF19aaylizt,0.39488152,0.040832352,LPV
ZTF18abcxiqh,0.38596126,0.54600513,E
ZTF18aagrfwa,0.51184577,0.47744545,RRL
ZTF18abocgbs,0.3427258,0.5939939,E
ZTF18abdrunr,0.3881329,0.07849795,LPV
ZTF17aabotyu,0.4407541,0.51447743,E
ZTF18aazmmhq,0.503262,0.45722318,E
ZTF18abctzkx,0.42407212,0.5046257,E
ZTF18adallyq,0.6440126,0.39714614,RRL
ZTF18abtjkii,0.35179216,0.5666793,E
ZTF18ablhpip,0.8129295,0.4355275,RRL
ZTF18adalnbn,0.42355806,0.61656874,RRL
ZTF18abcodgd,0.4800342,0.5135539,RRL
ZTF18acuextu,0.4094429,0.5297196,E
ZTF17aabukmg,0.42034566,0.50305706,E
ZTF17aacempk,0.9092657,0.3785182,RRL
ZTF19aayxvop,0.22691111,0.730825,RRL
ZTF18adccbzz,0.5069005,0.48177972,RRL
ZTF18abnbjum,0.3315992,0.6297078,RRL
ZTF18acvwbhl,0.5179992,0.4349799,E
ZTF18ablhpjk,0.5655336,0.4275042,E
ZTF18absupvk,0.46809945,0.37561923,Periodic-Other
ZTF19aairfak,0.26839978,0.6215796,E
ZTF19aabzumc,0.62512904,0.42164937,RRL
ZTF18aabexyo,0.5311757,0.446554,E
ZTF19aatyrhd,0.28031066,0.5399689,E
ZTF17aacjysr,0.37124774,0.62041444,E
ZTF18ablqdqg,0.55119514,0.43059704,E
ZTF18acxyhvo,0.48650607,0.5259982,RRL
ZTF18aabfdtt,0.5031421,0.3737516,E
