oid,x,y,target
ZTF18acrukmr,0.45866176,0.43479222,Periodic-Other
ZTF18abbueuv,0.64906657,0.4008409,CEP
ZTF18abtjnap,0.35171777,0.4330139,Periodic-Other
ZTF18abxpsxi,0.49956766,0.43401712,Periodic-Other
ZTF18aaaauei,0.7045279,0.3417783,CEP
ZTF18abadjcy,0.29232422,0.57195103,DSCT
ZTF18aabgbrl,0.58211184,0.4433899,DSCT
ZTF17aaarsuk,0.6739875,0.37284955,CEP
ZTF17aacofgi,0.50350773,0.40841588,DSCT
ZTF17aaapncr,0.6618401,0.3673288,CEP
ZTF18aaxjixb,0.6873589,0.35148662,CEP
ZTF19aauxfit,0.46035308,0.4350129,Periodic-Other
ZTF18acryjgq,0.6370251,0.39615563,CEP
ZTF17aaapnam,0.6585922,0.3522369,CEP
ZTF18abrwqgc,0.40015203,0.50934476,CEP
ZTF18aazvmcl,0.6748355,0.37925854,DSCT
ZTF18acvixrt,0.4733737,0.47338018,Periodic-Other
ZTF18abvihul,0.42750093,0.5085886,Periodic-Other
ZTF18acvjmue,0.50670695,0.39888477,Periodic-Other
ZTF18abcscja,0.31400087,0.44818544,Periodic-Other
ZTF18aaabblq,0.6030058,0.38451657,DSCT
ZTF18abvtijt,0.46694836,0.42496425,Periodic-Other
ZTF18aczumvx,0.3533053,0.50115097,Periodic-Other
ZTF18adbcnvg,0.47359225,0.41054136,CEP
ZTF18abnyhhh,0.37703648,0.47570497,Periodic-Other
ZTF18adallzk,0.38792554,0.46377027,Periodic-Other
ZTF18aalpbfy,0.48911786,0.42195305,DSCT
ZTF18absgrkb,0.4077373,0.43032515,Periodic-Other
ZTF18abeeqhi,0.64423704,0.39161932,CEP
ZTF18abxbdgq,0.46617156,0.41425678,Periodic-Other
ZTF18aahfcas,0.31400537,0.41409725,Periodic-Other
ZTF18acevrli,0.32350534,0.5318815,Periodic-Other
ZTF19ackxrzq,0.46544132,0.4176069,Periodic-Other
ZTF18abnnbys,0.6247619,0.39645714,CEP
ZTF18abvhplf,0.49202344,0.44181085,Periodic-Other
ZTF18adbafxu,0.4096709,0.43688026,DSCT
ZTF17aabrelf,0.47030762,0.4801095,Periodic-Other
ZTF17aaajfab,0.4723545,0.41340327,DSCT
ZTF17aabwfpq,0.6743552,0.4198231,Periodic-Other
ZTF18aaaakyv,0.54247445,0.41191664,DSCT
ZTF18abwmvzs,0.51609397,0.42713585,DSCT
ZTF17aadhmss,0.6551089,0.38063142,DSCT
ZTF18achdntb,0.28048876,0.446028,Periodic-Other
ZTF18abehhuk,0.6344893,0.4147603,CEP
ZTF18aagseon,0.29667687,0.5087683,Periodic-Other
ZTF18aagsiyy,0.6039183,0.38025305,DSCT
ZTF18aboquby,0.58716476,0.39151886,DSCT
ZTF19aapzvnq,0.47179815,0.40952784,Periodic-Other
ZTF18aauwmyq,0.5973249,0.350622,CEP
ZTF18aaadvxo,0.53868115,0.45198467,DSCT
ZTF18abbbmrb,0.7167464,0.41930678,Periodic-Other
ZTF18abryour,0.45011133,0.5118141,Periodic-Other
ZTF18aaakigd,0.69425446,0.33115092,CEP
ZTF18adbafmt,0.5054681,0.42084867,DSCT
ZTF17aaaoyvt,0.4270305,0.4606319,DSCT
ZTF18acdqpzj,0.37464958,0.51875055,Periodic-Other
ZTF18aabfzhj,0.5812975,0.42096025,DSCT
ZTF18acuxpua,0.43547925,0.47083664,Periodic-Other
ZTF18aaisdna,0.5817746,0.46378165,DSCT
ZTF18abnozyy,0.6267946,0.4162983,CEP
ZTF18aaaqqtc,0.6153991,0.41204065,DSCT
ZTF19aayemxw,0.4797362,0.41618896,Periodic-Other
ZTF18acdrflg,0.5621567,0.4553819,Periodic-Other
ZTF18acrwlft,0.74558526,0.40769368,CEP
ZTF18acrvajr,0.39840096,0.48806766,Periodic-Other
ZTF18absmoyu,0.5605342,0.35678887,CEP
ZTF18acrvakv,0.47413507,0.41433364,Periodic-Other
ZTF18abmrekb,0.5548032,0.4547367,DSCT
ZTF18aaawjpj,0.5369847,0.46115658,Periodic-Other
