oid,x,y,target
ZTF17aadmidf,0.3142757,0.15857366,E
ZTF17aadqpnu,0.26229954,0.5051686,RRL
ZTF18aapkwuy,0.27395526,0.5024786,RRL
ZTF18aajoeri,0.28301314,0.47659934,RRL
ZTF18adaiqlm,0.43248728,0.22249958,E
ZTF18acsmpoh,0.0785722,0.6795028,RRL
ZTF18adaudsr,0.84679365,0.3112493,LPV
ZTF18abvtifv,0.3855213,0.107787214,E
ZTF18abviquo,0.27602732,0.5675271,RRL
ZTF17aabxpfh,0.19615994,0.2393673,DSCT
ZTF18acagzaa,0.23344503,0.481712,RRL
ZTF18abryqkd,0.17391603,0.14941016,E
ZTF18aabcbwe,0.18556781,0.18017296,E
ZTF18abbycbo,0.7186666,0.6866182,RRL
ZTF18aayeaho,0.43255112,0.81379867,LPV
ZTF17aabshmd,0.22015576,0.19470325,E
ZTF18aabpzej,0.23280069,0.23870423,E
ZTF19aacabqi,0.06259602,0.27666488,E
ZTF17aabviiw,0.23084721,0.48128816,RRL
ZTF18abskqtt,0.14804417,0.5525399,RRL
ZTF18abeiyfj,0.6127876,0.22425716,RRL
ZTF18abmpncd,0.3379671,0.14030999,E
ZTF18abmlygd,0.2963747,0.5679249,RRL
ZTF18aairecz,0.2789873,0.21963415,E
ZTF18abwkuvp,0.1992922,0.07679622,E
ZTF18aajsgml,0.27322054,0.51442873,RRL
ZTF17aabwhsf,0.11297034,0.12939012,E
ZTF18abbxymh,0.077545024,0.3580282,RRL
ZTF18aceiewe,0.09558454,0.5836736,RRL
ZTF18absuwqi,0.30039823,0.19992752,E
ZTF18acebvoc,0.20297813,0.12083016,E
ZTF17aaapkds,0.16939208,0.226057,E
ZTF19aafnnyx,0.9753738,0.8701002,LPV
ZTF18abvgciz,0.41740358,0.94224507,LPV
ZTF18abnnbyp,0.29955494,0.08997389,E
ZTF18abmqjdl,0.39695475,0.02105428,RRL
ZTF18aabgkbi,0.22457646,0.22511727,RRL
