oid,x,y,target
ZTF17aadmidf,0.5356882,0.23466405,E
ZTF17aadqpnu,0.71527725,0.25284815,RRL
ZTF18aapkwuy,0.7373659,0.25337788,RRL
ZTF18aajoeri,0.7432763,0.22853008,RRL
ZTF18adaiqlm,0.43503484,0.24305518,E
ZTF18acsmpoh,0.47959256,0.2698149,RRL
ZTF18adaudsr,0.30172837,0.2581797,LPV
ZTF18abvtifv,0.51059246,0.2788787,E
ZTF18abviquo,0.6371386,0.21177368,RRL
ZTF17aabxpfh,0.66991216,0.26520896,DSCT
ZTF18acagzaa,0.6588724,0.27089396,RRL
ZTF18abryqkd,0.60399765,0.26654842,E
ZTF18aabcbwe,0.653639,0.24032733,E
ZTF18abbycbo,0.48774016,0.19777766,RRL
ZTF18aayeaho,0.030606983,0.46660388,LPV
ZTF17aabshmd,0.7474837,0.19362035,E
ZTF18aabpzej,0.65398175,0.20471863,E
ZTF19aacabqi,0.4476176,0.26408565,E
ZTF17aabviiw,0.5491385,0.24660505,RRL
ZTF18abskqtt,0.5029739,0.220648,RRL
ZTF18abeiyfj,0.4214416,0.2707631,RRL
ZTF18abmpncd,0.5758644,0.24783681,E
ZTF18abmlygd,0.71979576,0.2242609,RRL
ZTF18aairecz,0.66127855,0.22046317,E
ZTF18abwkuvp,0.4728411,0.31484517,E
ZTF18aajsgml,0.7289274,0.25736114,RRL
ZTF17aabwhsf,0.5595461,0.33333614,E
ZTF18abbxymh,0.56947094,0.2520587,RRL
ZTF18aceiewe,0.50316226,0.2224815,RRL
ZTF18absuwqi,0.5554693,0.20557626,E
ZTF18acebvoc,0.55944556,0.30867445,E
ZTF17aaapkds,0.6477172,0.26716724,E
ZTF19aafnnyx,0.15903907,0.15980566,LPV
ZTF18abvgciz,0.05907067,0.23220772,LPV
ZTF18abnnbyp,0.4328555,0.25633618,E
ZTF18abmqjdl,0.4048982,0.1850227,RRL
ZTF18aabgkbi,0.7467188,0.21088192,RRL
ZTF18acsjibs,0.4791703,0.21507098,E
ZTF18abjlwyr,0.52678114,0.26129797,E
ZTF18actwxiz,0.51387775,0.20009544,E
ZTF18abcosfz,0.7479403,0.20576383,RRL
ZTF18aberbwo,0.572532,0.22771141,E
ZTF17aaahepx,0.61565995,0.24373597,E
ZTF19abjjyvh,0.69863605,0.21609871,E
ZTF19aaaqnsl,0.5140248,0.21717177,RRL
ZTF18aabmrpo,0.655933,0.2693468,E
ZTF18acegbsn,0.5243874,0.22410554,E
ZTF18aakdzfd,0.48586506,0.22158432,E
ZTF18absnwva,0.53383523,0.26997933,E
ZTF17aaaiqrw,0.730226,0.21946047,E
ZTF18acqyksu,0.50198543,0.29754207,Periodic-Other
ZTF18acytayd,0.5790718,0.23057196,E
ZTF18aaylcro,0.44499606,0.20170467,RRL
ZTF18abjhwdk,0.42745075,0.25495142,E
ZTF18acwwnfx,0.45773005,0.22731827,E
ZTF18aavynte,0.5720273,0.18174341,LPV
ZTF17aabuklc,0.48805448,0.2887535,RRL
ZTF19aauvfpe,0.44283792,0.24683632,RRL
ZTF18acrvejb,0.685309,0.18878244,E
ZTF17aaaiqql,0.69309986,0.2554837,E
ZTF19aaylizt,0.107280895,0.28037688,LPV
ZTF18abcxiqh,0.64294994,0.20410612,E
ZTF18aagrfwa,0.68758696,0.24188577,RRL
ZTF18abocgbs,0.58384234,0.19589418,E
ZTF18abdrunr,0.06993304,0.20651281,LPV
ZTF17aabotyu,0.68336093,0.20977674,E
ZTF18aazmmhq,0.6922875,0.27452463,E
ZTF18abctzkx,0.6643056,0.19791085,E
ZTF18adallyq,0.5764097,0.22163546,RRL
ZTF18abtjkii,0.5492515,0.21718639,E
ZTF18ablhpip,0.71916294,0.2357331,RRL
ZTF18adalnbn,0.5448132,0.21478982,RRL
ZTF18abcodgd,0.7503833,0.22307147,RRL
ZTF18acuextu,0.70660144,0.20833926,E
ZTF17aabukmg,0.632757,0.28838888,E
ZTF17aacempk,0.70843667,0.2304622,RRL
ZTF19aayxvop,0.48507562,0.22864036,RRL
ZTF18adccbzz,0.68657196,0.2671845,RRL
ZTF18abnbjum,0.6045583,0.20055969,RRL
ZTF18acvwbhl,0.65437937,0.21675721,E
ZTF18ablhpjk,0.6988656,0.23007989,E
ZTF18absupvk,0.4297536,0.30508396,Periodic-Other
ZTF19aairfak,0.40213096,0.16911496,E
ZTF19aabzumc,0.59209955,0.2570964,RRL
ZTF18aabexyo,0.67153794,0.2564005,E
ZTF19aatyrhd,0.45768535,0.26717696,E
ZTF17aacjysr,0.5675018,0.2201434,E
ZTF18ablqdqg,0.66262287,0.21692285,E
ZTF18acxyhvo,0.6316571,0.24519117,RRL
ZTF18aabfdtt,0.46243772,0.30130172,E
ZTF18abbwsda,0.6729846,0.25958034,RRL
ZTF18absvbuc,0.46647277,0.30148473,CEP
ZTF18abrnlxo,0.4881091,0.20477125,RRL
ZTF17aaartjy,0.5603655,0.27292496,E
ZTF20aarbodz,0.453752,0.26438785,RRL
ZTF18abcxrfa,0.3703212,0.27702644,E
ZTF18acuxwdm,0.6585677,0.21475346,E
ZTF17aacpjps,0.48972425,0.28965616,E
ZTF18achrnad,0.5701057,0.2779707,E
ZTF18aaafkvd,0.47780314,0.2559299,RRL
ZTF18aabduvr,0.6608127,0.22656463,E
ZTF18abccnqb,0.598831,0.22636321,RRL
ZTF18aajsgos,0.68025523,0.24566308,E
ZTF19aaaktzg,0.17298427,0.19526717,LPV
ZTF18abeiygn,0.59346634,0.24760434,RRL
ZTF17aabhonu,0.52188987,0.2855969,E
ZTF17aabssyv,0.66973644,0.23673494,RRL
ZTF19aaexhiw,0.59082144,0.2157107,DSCT
ZTF18aaacxot,0.6677011,0.21703634,E
ZTF18abmagri,0.6838378,0.23566829,RRL
ZTF18acrxwws,0.6609198,0.26739767,RRL
ZTF17aaaioxg,0.6825398,0.23399138,E
ZTF19aaxiocy,0.57095826,0.3286884,E
ZTF18abbwvzc,0.6294756,0.21946692,RRL
ZTF18aaxcpos,0.6117842,0.23616582,E
ZTF18abajakj,0.30862564,0.16872998,LPV
ZTF18abudwbh,0.5915242,0.23544443,RRL
ZTF18aceieva,0.40559086,0.24424534,E
ZTF19aaexhjl,0.66022724,0.22157304,E
ZTF19aadordy,0.5791542,0.21334067,RRL
ZTF17aaaeena,0.2827907,0.21895063,LPV
ZTF18achqldp,0.48352468,0.22778274,E
ZTF19aaesgaz,0.50088066,0.32837784,E
ZTF17aaagzbt,0.65172184,0.2675033,DSCT
ZTF18abdydlo,0.4574404,0.2336707,RRL
ZTF18abwqqwt,0.5575484,0.2867858,E
ZTF18adbdnvx,0.5999229,0.22567202,E
ZTF19aaesgba,0.6611186,0.20959048,E
ZTF18abikcoy,0.58580345,0.21840078,RRL
ZTF18acvickw,0.51528424,0.2662154,RRL
ZTF18aayphfs,0.15245348,0.15307374,LPV
ZTF18aaisdzg,0.6796109,0.25897917,E
ZTF18abcscgp,0.6221811,0.1955106,E
ZTF18acvvsvi,0.65311456,0.2442731,E
ZTF19aaflthc,0.4312939,0.23862332,E
ZTF18abnttdd,0.48177934,0.24845518,E
ZTF18aaumbri,0.5072272,0.24373029,DSCT
ZTF19aadykpm,0.5808541,0.25723457,E
ZTF18acvcocg,0.6229491,0.20533568,E
ZTF18aakgtup,0.70141035,0.24527113,RRL
ZTF17aaawgrz,0.40360105,0.16929974,LPV
ZTF17aaakpvz,0.65388393,0.25505012,E
ZTF18aaajfgw,0.71124184,0.23606251,RRL
ZTF17aadkmcp,0.6464847,0.226206,E
ZTF19aajwcvj,0.47977716,0.2603652,RRL
ZTF18acctmku,0.65171903,0.21858685,E
ZTF18acpwlnn,0.64371204,0.2552884,RRL
ZTF18acgzkpc,0.5162566,0.2676776,E
ZTF17aaagvup,0.6387504,0.24381803,RRL
ZTF18acrvboh,0.65328336,0.2577089,E
ZTF18aaxyxxw,0.14521289,0.14993602,LPV
ZTF18abvlgrj,0.4036954,0.24397926,E
ZTF18abvvtrp,0.43381187,0.3092755,E
ZTF18aabjieg,0.6217174,0.25688612,E
ZTF17aabxped,0.5567404,0.30305713,RRL
ZTF18aaaarzl,0.6852547,0.2358641,E
ZTF18acvweoy,0.45490068,0.22138637,E
ZTF18aacasls,0.38762426,0.26211149,E
ZTF18abiipth,0.6084754,0.20089623,RRL
ZTF18abzwgly,0.59150314,0.26293987,E
ZTF17aacdknt,0.6114619,0.20249453,E
ZTF17aabuljr,0.6345414,0.22950962,E
ZTF17aaappqr,0.60130686,0.21260256,RRL
ZTF18aayundf,0.38418213,0.28968668,RRL
ZTF18abhftkq,0.46263894,0.20124386,E
ZTF18abdfhaz,0.5541404,0.28920615,RRL
ZTF18abdkvus,0.264197,0.17477523,LPV
ZTF18abafbtj,0.44091338,0.27163252,E
ZTF18abvorwd,0.6435802,0.190349,E
ZTF18aaxzcsj,0.58674014,0.3220734,E
ZTF17aacemqx,0.7077029,0.21997935,E
ZTF19aadowxs,0.498987,0.2556493,CEP
ZTF17aadptjq,0.6879253,0.19509245,E
ZTF18aczumzm,0.67536217,0.23821235,RRL
ZTF18abfxcdo,0.67581165,0.24297638,RRL
ZTF18absceth,0.5899765,0.19136964,E
ZTF18acwwbsc,0.08640132,0.2667701,LPV
ZTF18abcpool,0.58234954,0.26946774,E
ZTF18acebcwj,0.46979854,0.2630188,E
ZTF17aacnwbp,0.71118283,0.23056169,RRL
ZTF18adbzcbg,0.5079692,0.30119357,RRL
ZTF17aabukoo,0.6522834,0.24783693,RRL
ZTF18aajuslf,0.45822942,0.25054806,E
ZTF18abvtbvp,0.538454,0.27565134,E
ZTF17aaahrpu,0.6352431,0.27427265,E
ZTF18ablqqhj,0.24632853,0.2372012,LPV
ZTF18abttouc,0.6051149,0.2128064,E
ZTF18abeaapa,0.7408093,0.18436334,RRL
ZTF18abcpolw,0.37939885,0.33661968,E
ZTF18abwerrl,0.53183943,0.25781205,RRL
ZTF18absvbtp,0.5464632,0.2548881,RRL
ZTF18absktiz,0.28925925,0.1612026,LPV
ZTF18aajppsj,0.6484413,0.2808475,E
ZTF18abtvgyl,0.49075192,0.2241259,E
ZTF18abinkbl,0.65423036,0.24318396,RRL
ZTF18abmvozp,0.5957632,0.22452241,RRL
ZTF18acafgkl,0.6483015,0.2508458,E
ZTF17aabszsk,0.6173993,0.23996167,E
ZTF17aadkshd,0.6952398,0.22569066,RRL
ZTF19aaduqcl,0.5989361,0.2121131,RRL
ZTF18aaadtxy,0.7066939,0.25922018,E
ZTF18abzrcus,0.20858094,0.15338476,LPV
ZTF18acakuir,0.45524627,0.20799468,E
ZTF18acssdtz,0.6354698,0.2285142,E
ZTF18abtvgzw,0.4862012,0.20823866,RRL
ZTF18aaadvcf,0.7540664,0.23239262,E
ZTF18abjlwxa,0.7088032,0.24495696,RRL
ZTF17aaaidha,0.4717959,0.35332337,E
ZTF17aaasyfh,0.7866252,0.18569016,RRL
ZTF18aabfjzp,0.48073918,0.26753852,E
ZTF18aabgkcz,0.47390652,0.2538141,E
ZTF19aabzuno,0.73849815,0.18248522,RRL
