oid,x,y,target
ZTF17aadmidf,0.42590925,0.88147104,E
ZTF17aadqpnu,0.4131187,0.9449164,RRL
ZTF18aapkwuy,0.4048119,0.955622,RRL
ZTF18aajoeri,0.42004073,0.9548756,RRL
ZTF18adaiqlm,0.42379078,0.83824587,E
ZTF18acsmpoh,0.41112164,0.8623168,RRL
ZTF18adaudsr,0.40071344,0.64737755,LPV
ZTF18abvtifv,0.4051692,0.8775166,E
ZTF18abviquo,0.42754173,0.9147562,RRL
ZTF17aabxpfh,0.40662852,0.92985004,DSCT
ZTF18acagzaa,0.41082639,0.92486125,RRL
ZTF18abryqkd,0.40360808,0.9125754,E
ZTF18aabcbwe,0.40985808,0.9230627,E
ZTF18abbycbo,0.4263512,0.6333349,RRL
ZTF18aayeaho,0.12177238,0.5683414,LPV
ZTF17aabshmd,0.42451844,0.9604179,E
ZTF18aabpzej,0.42921337,0.92486644,E
ZTF19aacabqi,0.41439107,0.8439223,E
ZTF17aabviiw,0.41114622,0.8882894,RRL
ZTF18abskqtt,0.42714107,0.8733872,RRL
ZTF18abeiyfj,0.41240457,0.839531,RRL
ZTF18abmpncd,0.41362402,0.89940786,E
ZTF18abmlygd,0.42036045,0.9436237,RRL
ZTF18aairecz,0.4221721,0.9239658,E
ZTF18abwkuvp,0.3824335,0.8685767,E
ZTF18aajsgml,0.4073581,0.9500387,RRL
ZTF17aabwhsf,0.37729445,0.9015291,E
ZTF18abbxymh,0.41290283,0.8912332,RRL
ZTF18aceiewe,0.4260514,0.8697262,RRL
ZTF18absuwqi,0.4299284,0.88924044,E
ZTF18acebvoc,0.37581763,0.9078465,E
ZTF17aaapkds,0.40073678,0.9248991,E
ZTF19aafnnyx,0.4175539,0.4241646,LPV
ZTF18abvgciz,0.29028082,0.42658812,LPV
ZTF18abnnbyp,0.41998023,0.7770536,E
ZTF18abmqjdl,0.41277534,0.84581894,RRL
ZTF18aabgkbi,0.42337012,0.9576251,RRL
ZTF18acsjibs,0.4296475,0.8577135,E
ZTF18abjlwyr,0.4001527,0.8864114,E
ZTF18actwxiz,0.43754676,0.8794232,E
ZTF18abcosfz,0.4305428,0.95323205,RRL
ZTF18aberbwo,0.4279616,0.8955622,E
ZTF17aaahepx,0.41048148,0.9121225,E
ZTF19abjjyvh,0.4198562,0.9421154,E
ZTF19aaaqnsl,0.42993298,0.8747069,RRL
ZTF18aabmrpo,0.40048364,0.926304,E
ZTF18acegbsn,0.42016548,0.8818298,E
ZTF18aakdzfd,0.4218875,0.85553545,E
ZTF18absnwva,0.40716532,0.8840664,E
ZTF17aaaiqrw,0.42024282,0.95177877,E
ZTF18acqyksu,0.39222586,0.8772991,Periodic-Other
ZTF18acytayd,0.42121428,0.89873874,E
ZTF18aaylcro,0.43866554,0.84697866,RRL
ZTF18abjhwdk,0.4712965,0.6278132,E
ZTF18acwwnfx,0.4295949,0.8564406,E
ZTF18aavynte,0.4262219,0.6177987,LPV
ZTF17aabuklc,0.40385586,0.8677584,RRL
ZTF19aauvfpe,0.42243084,0.8469495,RRL
ZTF18acrvejb,0.43595913,0.9317821,E
ZTF17aaaiqql,0.40858173,0.9385744,E
ZTF19aaylizt,0.25922257,0.41773158,LPV
ZTF18abcxiqh,0.4311252,0.91476935,E
ZTF18aagrfwa,0.40840858,0.9391828,RRL
ZTF18abocgbs,0.4394306,0.8975806,E
ZTF18abdrunr,0.3175703,0.41836223,LPV
ZTF17aabotyu,0.42510375,0.9313708,E
ZTF18aazmmhq,0.38638264,0.9518177,E
ZTF18abctzkx,0.42842025,0.9245527,E
ZTF18adallyq,0.42383274,0.89505285,RRL
ZTF18abtjkii,0.4298408,0.89116186,E
ZTF18ablhpip,0.41329348,0.9461081,RRL
ZTF18adalnbn,0.4328036,0.8848388,RRL
ZTF18abcodgd,0.41999075,0.961454,RRL
ZTF18acuextu,0.4272684,0.94032025,E
ZTF17aabukmg,0.39610198,0.92047167,E
ZTF17aacempk,0.41703263,0.9399162,RRL
ZTF19aayxvop,0.43958697,0.8642517,RRL
ZTF18adccbzz,0.39543647,0.94501626,RRL
ZTF18abnbjum,0.43775266,0.9028302,RRL
ZTF18acvwbhl,0.42305398,0.92231905,E
ZTF18ablhpjk,0.41503316,0.9412575,E
ZTF18absupvk,0.38725287,0.84689647,Periodic-Other
ZTF19aairfak,0.41674903,0.83772236,E
ZTF19aabzumc,0.41447067,0.90379345,RRL
ZTF18aabexyo,0.40388355,0.93149084,E
ZTF19aatyrhd,0.4116145,0.8506893,E
ZTF17aacjysr,0.42893544,0.89435583,E
ZTF18ablqdqg,0.42139515,0.92340744,E
ZTF18acxyhvo,0.40960288,0.91867006,RRL
ZTF18aabfdtt,0.39506635,0.8556355,E
ZTF18abbwsda,0.41001898,0.9312402,RRL
ZTF18absvbuc,0.39577305,0.857487,CEP
ZTF18abrnlxo,0.43283674,0.8707877,RRL
ZTF17aaartjy,0.40233248,0.89007586,E
ZTF20aarbodz,0.41336018,0.8498325,RRL
ZTF18abcxrfa,0.40646726,0.804907,E
ZTF18acuxwdm,0.4261198,0.924977,E
ZTF17aacpjps,0.39991724,0.8647646,E
ZTF18achrnad,0.39292517,0.8964851,E
ZTF18aaafkvd,0.41928256,0.8573052,RRL
ZTF18aabduvr,0.4185731,0.92649215,E
ZTF18abccnqb,0.41783282,0.9044539,RRL
ZTF18aajsgos,0.40494913,0.93319404,E
ZTF19aaaktzg,0.42266575,0.4839416,LPV
ZTF18abeiygn,0.42180333,0.9008986,RRL
ZTF17aabhonu,0.3884957,0.8889728,E
ZTF17aabssyv,0.4163586,0.9270331,RRL
ZTF19aaexhiw,0.4300781,0.8979187,DSCT
ZTF18aaacxot,0.42362386,0.92861867,E
ZTF18abmagri,0.4238925,0.9311417,RRL
ZTF18acrxwws,0.41272315,0.9255192,RRL
ZTF17aaaioxg,0.41315597,0.93285406,E
ZTF19aaxiocy,0.37807667,0.9130131,E
ZTF18abbwvzc,0.42967758,0.91372186,RRL
ZTF18aaxcpos,0.42340606,0.9098691,E
ZTF18abajakj,0.4833729,0.4851409,LPV
ZTF18abudwbh,0.42611685,0.9045791,RRL
ZTF18aceieva,0.41831973,0.82920855,E
ZTF19aaexhjl,0.42665702,0.9265844,E
ZTF19aadordy,0.43151468,0.89775056,RRL
ZTF17aaaeena,0.42104766,0.62223643,LPV
ZTF18achqldp,0.4449074,0.7297157,E
ZTF19aaesgaz,0.38562796,0.8782384,E
ZTF17aaagzbt,0.40427986,0.92410415,DSCT
ZTF18abdydlo,0.43351245,0.845758,RRL
ZTF18abwqqwt,0.39713305,0.9011829,E
ZTF18adbdnvx,0.42142442,0.9031182,E
ZTF19aaesgba,0.42795753,0.92791635,E
ZTF18abikcoy,0.4292337,0.9003275,RRL
ZTF18acvickw,0.40878513,0.87786263,RRL
ZTF18aayphfs,0.41946194,0.42475548,LPV
ZTF18aaisdzg,0.4012463,0.93573123,E
ZTF18abcscgp,0.4369133,0.9114211,E
ZTF18acvvsvi,0.41857702,0.9217787,E
ZTF19aaflthc,0.424011,0.8370111,E
ZTF18abnttdd,0.4160961,0.86445445,E
ZTF18aaumbri,0.41503286,0.8743566,DSCT
ZTF19aadykpm,0.41166624,0.902965,E
