oid,x,y,target
ZTF17aadmidf,0.7670658,0.5997283,E
ZTF17aadqpnu,0.82112163,0.9939877,RRL
ZTF18aapkwuy,0.8567646,0.9895371,RRL
ZTF18aajoeri,0.8519506,0.979458,RRL
ZTF18adaiqlm,0.7006319,0.48634776,E
ZTF18acsmpoh,0.7320735,0.8808602,RRL
ZTF18adaudsr,0.5887001,0.5849112,LPV
ZTF18abvtifv,0.7282148,0.62336147,E
ZTF18abviquo,0.8114662,0.95739675,RRL
ZTF17aabxpfh,0.81896615,0.98089015,DSCT
ZTF18acagzaa,0.8594718,0.97607034,RRL
ZTF18abryqkd,0.797744,0.715892,E
ZTF18aabcbwe,0.7843198,0.6706017,E
ZTF18abbycbo,0.7525647,0.5271905,RRL
ZTF18aayeaho,0.048352852,0.9999201,LPV
ZTF17aabshmd,0.89295083,0.6907279,E
ZTF18aabpzej,0.85421497,0.63946176,E
ZTF19aacabqi,0.6921604,0.5555947,E
ZTF17aabviiw,0.81865484,0.93372834,RRL
ZTF18abskqtt,0.75075907,0.57967335,RRL
ZTF18abeiyfj,0.66075915,0.5428782,RRL
ZTF18abmpncd,0.7890243,0.72375727,E
ZTF18abmlygd,0.847141,0.9724141,RRL
ZTF18aairecz,0.89607453,0.7088056,E
ZTF18abwkuvp,0.72398597,0.66599274,E
ZTF18aajsgml,0.81914073,0.9920649,RRL
ZTF17aabwhsf,0.7412096,0.69172436,E
ZTF18abbxymh,0.7578318,0.6375739,RRL
ZTF18aceiewe,0.74583244,0.5477834,RRL
ZTF18absuwqi,0.79851806,0.5813808,E
ZTF18acebvoc,0.76933354,0.7090681,E
ZTF17aaapkds,0.8079521,0.7203187,E
ZTF19aafnnyx,0.4847624,0.7613772,LPV
ZTF18abvgciz,0.39214137,0.9801777,LPV
ZTF18abnnbyp,0.83052,0.32921666,E
ZTF18abmqjdl,0.7210404,0.40984055,RRL
ZTF18aabgkbi,0.8979712,0.7184008,RRL
ZTF18acsjibs,0.7511224,0.5334178,E
ZTF18abjlwyr,0.7400135,0.6492247,E
ZTF18actwxiz,0.78924257,0.53954744,E
ZTF18abcosfz,0.8112261,0.9910904,RRL
ZTF18aberbwo,0.7966247,0.9332576,E
ZTF17aaahepx,0.7745652,0.6503985,E
ZTF19abjjyvh,0.8856878,0.72996354,E
ZTF19aaaqnsl,0.76653403,0.61246353,RRL
ZTF18aabmrpo,0.7991742,0.7019877,E
ZTF18acegbsn,0.74348104,0.6124095,E
ZTF18aakdzfd,0.7301564,0.5999556,E
ZTF18absnwva,0.7471671,0.62794816,E
ZTF17aaaiqrw,0.83647525,0.6793694,E
ZTF18acqyksu,0.70855784,0.6358702,Periodic-Other
ZTF18acytayd,0.7902654,0.6318277,E
ZTF18aaylcro,0.7892894,0.52046144,RRL
ZTF18abjhwdk,0.68446994,0.13169676,E
ZTF18acwwnfx,0.7325033,0.53223294,E
ZTF18aavynte,0.5863278,0.563233,LPV
